raw_comment,normalize_comment,emoji_decode
"vải quần không giống mẫu. Tạm, giá cũng tạm. 🧚🏻‍♀️🧚🏻‍♀️🧚🏻‍♀️🧚🏻‍♀️🧚🏻‍♀️",vải quần không giống mẫu tạm giá cũng tạm,female_sign female_sign female_sign female_sign female_sign fairy fairy fairy fairy fairy
Hàng mỏng. Xấu. E mình k mặc luôn á . Đi toi 69k 😭😭😭😭😭😭😭😭 K nưen mua nha mn,hàng mỏng xấu e không mặc luôn á đi toi không không mua mọi người,sob sob sob sob sob sob sob sob
Nón dày dặn nhưng có hơi to so với mình. Đi đường sợ gió bay mất😢. Ship hàng ngay sau 2 tiếng👍👍👍,nón dày dặn nhưng có hơi to so đi đường sợ gió bay mất ship hàng ngay sau tiếng,thumbsup thumbsup thumbsup cry
"Mua cái đầu màu ghi tối mặc ok đẹp, mua thêm cái t2 màu đen ống nhỏ hơn mặc bó xấu qua.😁(hình ko lq)",mua cái đầu màu ghi tối mặc ok đẹp mua thêm cái màu đen ống nhỏ hơn mặc bó xấu qua hình không,grin
Miếng dán mèo sau lưng áo bị bong mất 1 tẹo🙂,miếng dán mèo sau lưng áo bong mất tẹo,slightly_smiling_face
"Áo đẹp nhứt nách luôn ă. Dày dặn, đứng form, thơm tho 😘. Đặt 2 hôm là có áo đẹp mặc r",áo đẹp nhứt nách luôn dày dặn đứng form thơm tho đặt hôm là có áo đẹp mặc,kissing_heart
"Siêu ưng vì mua được giá quá hời luôn nha 
😁😁😁😁😁😁😁😁😁😁❤️❤️❤️❤️❤️ Javaia jabsjabozbaos. Ksbais js iais",siêu ưng vì mua được giá quá hời luôn,heart heart heart heart heart grin grin grin grin grin grin grin grin grin grin
"Vải mỏng 
Không giống hình🙂",vải mỏng không giống hình,slightly_smiling_face
Giày đẹp rẻ đúng from xuất sắc lắm ạ ❤ sẽ ghé mua tiếp ạ 😍,giày đẹp rẻ đúng from xuất sắc lắm sẽ ghé mua tiếp,heart_eyes
"Sp OK, mua lần thứ 2 rồi,lần trước đặt đúng size,còn lần này nhưng tại mình đặt nhầm  size nên áo hơi rộng.😂😂😂",sản phẩm ok mua lần thứ lần trước đặt đúng size còn lần nhưng tại đặt nhầm size nên áo hơi rộng,joy joy joy
