raw_comment,normalize_comment,emoji_decode
form k đẹp lắm,form không đẹp lắm,
"Áo Rộng thật sự
Gl nhanh
Chật lượng vải tốt",áo rộng thật sự nhanh chật lượng vải tốt,
Màu túi hơi tối do với ảnh chụp,màu túi hơi tối do ảnh chụp,
Chất liệu vải k ổn lắm,chất liệu vải không ổn lắm,
"Mã ""màu đen"" hiện lên áo màu đen, còn mã ""đeN"" hiện lên áo màu be. Mình đặt ""đeN"" thì shop giao màu đen thật. Tệ! Nếu không còn mẫu thì báo hết. Mập mờ vậy làm khách hàng mua nhầm!!!!!",mã màu đen hiện lên áo màu đen còn mã đen hiện lên áo màu be đặt đen giao màu đen thật tệ nếu không còn mẫu báo hết mập mờ làm khách hàng mua nhầm,
Sản phẩm đẹp giống hình phù hợp giá tiền đóng gói kĩ đẹp giao nhanh,sản phẩm đẹp giống hình phù hợp giá tiền đóng gói kĩ đẹp giao nhanh,
"Sản phẩm giống hình , shop giao hàng nhanh , đóng hàng chắn chắn...",sản phẩm giống hình giao hàng nhanh đóng hàng chắn chắn,
"Đặt 5 đôi giao 4 đôi, nhắn tin không trả lời, chất lượng phục vụ kém",đặt đôi giao đôi nhắn tin không trả lời chất lượng phục vụ kém,
"Sp đúng mô tả ,vải ko dày nhưng ko mỏng ,mặc khá mát ,thích hợp cho các bạn trẻ ,50kg tới 55kg các b mặc size L là đẹp luôn,",sản phẩm đúng mô tả vải không dày nhưng không mỏng mặc khá mát thích hợp cho các bạn trẻ kg tới kg các b mặc size l là đẹp luôn,
"Chẳng biết nói gì thêm, tuyệt vời",chẳng biết nói gì thêm tuyệt vời,
"giao hàng lâu nhưng vì hàng quốc tế nên bỏ qua
với 16k mà nhận cái này thì quá đắt :))) chán",giao hàng lâu nhưng vì hàng quốc tế nên bỏ qua không mà nhận cái quá đắt chán,
"Áo may thủ công, may xong cũng ko là. Nhưng do săn sale nên ko ý kiến nhiều, tks shop",áo may thủ công may xong cũng không là nhưng do săn sale nên không ý kiến nhiều thanks,
Sản phẩm hơi bó nách..,sản phẩm hơi bó nách,
"Bóp quá đơn giản tới mức chẳng bỏ được cái thẻ nào vào, dở tệ",bóp quá đơn giản tới mức chẳng bỏ được cái thẻ nào vào dở tệ,
"Giao hàng lâu, giao nội thành HN mà 4 ngày mới nhận được.
Chất lượng kém. Đặt XL tuy nhiên mình 1m70 62kg mặc ngắn. Mặc zô suột chỉ bên hông 1 đường từ nách xuống hết mặc được luôn. 
Giá này thì mạo hiểm, coi như mình xui v...",giao hàng lâu giao nội thành mà ngày mới nhận được chất lượng kém đặt xl tuy nhiên mình kg mặc ngắn mặc suột chỉ bên hông đường từ nách xuống hết mặc được luôn giá mạo hiểm coi như xui,
Giao hàng nhanh nhưng áo bị bục 1 lỗ như hình chán,giao hàng nhanh nhưng áo bục lỗ như hình chán,
Bữa m đặt 1 quân đũi ngăn mầu trắng thì ship chuẩn đpẹ . đặt thêm 1 quân mầu ghi thì ship quần loại khác chán,bữa đặt quân đũi ngăn mầu trắng ship chuẩn đặt thêm quân mầu ghi ship quần loại khác chán,
"Mua mấy cái này cute xĩu , mua xong là ghiền luôn 
.....
.......",mua mấy cái cute xĩu mua xong là ghiền luôn,
Xỉu vì độ cute của chiếc quạt ạ tiếc là mình chỉ đặt 2c huhu😅😅 quạt nhỏ vừa tầm mát lắm nha hihịi đẹp quá ko lỡ quạt😭😭,xỉu vì độ cute của chiếc quạt tiếc là chỉ đặt c quạt nhỏ vừa tầm mát lắm đẹp quá không lỡ quạt,sob sob sweat_smile sweat_smile
"Rất đáng tiền , đóng gói cẩn thận , balo xinh , như mẫu !!!!!!!!!",rất đáng tiền đóng gói cẩn thận xinh như mẫu,
Khách dựa vào kích thước size shop đưa ra để chọn size phù hợp. CHẤP NHẬN SAI SỐ TỪ 1-3cm. Nhưng rõ ràng váy nhận về NHỎ HƠN 8CM? Và shop Không giải quyết mà trả lời NGANG NHƯ CUA. Còn bảo mình xem bạn bè có ai mặc được không.Ủa gì vậy ?Vậy tôi mua cho ai? Vậy shop để kích thước làm gì vậy??,khách dựa vào kích thước size đưa ra chọn size phù hợp chấp nhận sai số từ cm nhưng rõ ràng váy nhận về nhỏ hơn cm không giải quyết mà trả lời ngang như cua còn bảo xem bạn bè có ai mặc được không ủa gì vậy mua cho ai kích thước làm gì,
"Giày màu y hình, gói hàng bình thường, giao hàng khá nhanh. Oke",giày màu y hình gói hàng bình thường giao hàng khá nhanh ok,
quần mặc k lên form đc như hình. mk hơi thấp nên cảm thấy hơi dài. chất vải cũng tạm ổn,quần mặc không lên form được như hình hơi thấp nên cảm thấy hơi dài chất vải cũng tạm ổn,
Khác mẫu,khác mẫu,
Vải tạm ạ còn nhãn áo thì không giống hình ạ.,vải tạm còn nhãn áo không giống hình,
"Da thật, gói hàng nguyên vẹn",da thật gói hàng nguyên vẹn,
Mặc 3 ngày chắc dão hết chun,mặc ngày chắc dão hết chun,
"Hàng siêu xịn. Nhiều ngăn để thẻ và ngăn để tiền rộng, thoải mái.
Cực thích ví này của shop luônnm",hàng siêu xịn nhiều ngăn thẻ ngăn tiền rộng thoải mái cực thích ví của,
"Xin lỗi vì hình ảnh không liên quannnn ạ, tại vì bộ này chưa mặc nên chưa đem ra. Cơ bản vải mỏng, tiền nào của đó ý :D",xin lỗi vì hình ảnh không liên quan tại vì bộ chưa mặc nên chưa đem ra cơ bản vải mỏng tiền nào của ý d,
Vì mini nhưng còn to hơn cả ví thường là sao :)))). Cầm lên chán luôn,vì mini nhưng còn to hơn cả ví thường là cầm lên chán luôn,
"Không giống hình, dây mỏng hơn hình",không giống hình dây mỏng hơn hình,
chất vải tốt đúng size đúng mẫu mua ... nhân viên tư vấn rất nhiệt tình shop rất co tâm ....,chất vải tốt đúng size đúng mẫu mua nhân viên tư vấn rất nhiệt tình rất co tâm,
Bẩn với mốc ở mặt xong,bẩn mốc ở mặt xong,
hơi rộng so với size,hơi rộng so size,
